"Product","Brand","Variant","Size_liter","Pack","Market","Period","Value_1000_EUR","Volume_1000_liter","Price_per_liter","Dis_weight","Dis_num","Promo_value_1000_EUR","Non_promo_value_1000_EUR","Promo_volume_1000_liter","Non_promo_volume_1000_liter"
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2022-08-15,0.2859,0.1095,2.61095890410959,2.75,3,0.1195,0.1664,0.0575,0.052
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2022-09-12,0.2213,0.0868,2.54953917050691,4,5,0.0489,0.1724,0.027,0.0598
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2022-10-10,0.1856,0.0709,2.61777150916784,3.25,4,0,0.1856,0,0.0709
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2022-11-07,0.1613,0.0673,2.39673105497771,4,5,0.0262,0.1351,0.0137,0.0536
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2022-12-05,0.08,0.0308,2.5974025974026,3,3,0.0338,0.0462,0.015,0.0158
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-01-02,0.121,0.0527,2.29601518026565,4.5,5,0.0809,0.0401,0.042,0.0107
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-01-30,0.1766,0.0668,2.6437125748503,2.75,3,0.0131,0.1635,0.0065,0.0603
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-02-27,0.1389,0.0674,2.06083086053412,5,5,0.0621,0.0768,0.0324,0.035
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-03-27,0.1337,0.0574,2.32926829268293,3.75,4,0.0244,0.1093,0.0133,0.0441
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-04-24,0.2945,0.1315,2.23954372623574,1,1,0.0163,0.2782,0.0113,0.1202
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-05-22,0.1694,0.0693,2.44444444444444,3.75,4,0.0259,0.1435,0.012,0.0573
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-06-19,0.4131,0.1723,2.39756239117818,2.75,3,0,0.4131,0,0.1723
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-07-17,0.3614,0.1584,2.28156565656566,3.5,3.75,0.0362,0.3252,0.018,0.1404
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-08-14,0.3519,0.1473,2.38900203665988,3.75,4,0.1593,0.1926,0.076,0.0713
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-09-11,0.3746,0.1684,2.22446555819477,1.75,1.75,0.0851,0.2895,0.043,0.1254
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-10-09,0.2303,0.0965,2.38652849740933,1,1,0.1257,0.1046,0.0568,0.0397
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-11-06,0.2591,0.1119,2.31546023235031,1,0.75,0.1301,0.129,0.06,0.0519
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2023-12-04,0.1913,0.0782,2.4462915601023,0.25,0,0.0641,0.1272,0.03,0.0482
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-01-01,0.1501,0.0687,2.18486171761281,0.25,0.25,0.0708,0.0793,0.036,0.0327
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-01-29,0.1826,0.0748,2.44117647058824,1,1,0.049,0.1336,0.024,0.0508
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-02-26,0.2381,0.1011,2.35509396636993,1,1,0.1407,0.0974,0.06,0.0411
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-03-25,0.196,0.0763,2.56880733944954,0.75,0.5,0.067,0.129,0.03,0.0463
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-04-22,0.3417,0.1339,2.55190440627334,3.5,4.5,0.0357,0.306,0.0166,0.1173
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-05-20,0.4735,0.1972,2.40111561866126,3.5,4.75,0.1123,0.3612,0.0478,0.1494
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-06-17,0.3514,0.1422,2.47116736990155,3.75,5.5,0.1113,0.2401,0.044,0.0982
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Total Market",2024-07-15,0.3193,0.1236,2.58333333333333,3.5,4.5,0.1381,0.1812,0.0593,0.0643
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2022-08-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2022-09-12,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2022-10-10,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2022-11-07,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2022-12-05,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-01-02,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-01-30,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-02-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-03-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-04-24,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-05-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-06-19,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-07-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-08-14,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-09-11,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-10-09,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-11-06,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2023-12-04,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-01-01,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-01-29,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-02-26,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-03-25,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-04-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-05-20,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-06-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer A",2024-07-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2022-08-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2022-09-12,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2022-10-10,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2022-11-07,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2022-12-05,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-01-02,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-01-30,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-02-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-03-27,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-04-24,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-05-22,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-06-19,0.0313,0.0063,4.96825396825397,0,0,0,0.0313,0,0.0063
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-07-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-08-14,0.0413,0.0083,4.97590361445783,0,0,0,0.0413,0,0.0083
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-09-11,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-10-09,0.005,0.001,5,0,0,0,0.005,0,0.001
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-11-06,0.02,0.004,5,0,0,0,0.02,0,0.004
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2023-12-04,0.03,0.006,5,0,0,0,0.03,0,0.006
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-01-01,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-01-29,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-02-26,0.0089,0.0019,4.68421052631579,0,0,0,0.0089,0,0.0019
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-03-25,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-04-22,0.0099,0.0041,2.41463414634146,0,0,0.0099,0,0.0041,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-05-20,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-06-17,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Glass 0.25 Liter","Karatea","PFIRSICH HIBISKUS","0.25","Glass","Retailer B",2024-07-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2022-08-15,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2022-09-12,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2022-10-10,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2022-11-07,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2022-12-05,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-01-02,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-01-30,0,0,0,0,0,0,0,0,0
"Karatea PFIRSICH HIBISKUS Can 0.33 Liter","Karatea","PFIRSICH HIBISKUS","0.33","Can","Total Market",2023-02-27,0,0,0,0,0,0,0,0,0
