"Date";"Store";"Category";"Brand";"Sales_Amount";"Units_Sold";"Customer_Age"
2023-11-30;"Store 3";"Grocery";"Trader Joe's";26,32;17;29
2023-08-04;"Store 1";"Toys";"Mattel";270,08;5;32
2023-02-26;"Store 6";"Clothing";"Puma";372,76;1;31
2023-07-17;"Store 7";"Electronics";"LG";1235,69;3;38
2023-11-03;"Store 4";"Furniture";"West Elm";825,87;1;31
2023-06-03;"Store 1";"Grocery";"Walmart";61,04;9;18
2023-10-03;"Store 9";"Clothing";"Nike";467,84;7;30
2023-05-21;"Store 9";"Electronics";"Apple";1017,85;3;38
2023-07-23;"Store 7";"Clothing";"Nike";458,65;8;28
2023-10-30;"Store 8";"Clothing";"Adidas";213,96;3;48
2023-04-08;"Store 8";"Furniture";"IKEA";736,01;2;29
2023-03-02;"Store 7";"Clothing";"Adidas";367,74;7;44
2023-07-07;"Store 6";"Sports";"Spalding";315,45;3;54
2023-08-02;"Store 9";"Clothing";"Puma";312,6;8;38
2023-09-19;"Store 10";"Grocery";"Trader Joe's";34,95;1;45
2023-03-21;"Store 6";"Electronics";"Apple";976,29;3;24
2023-12-01;"Store 3";"Grocery";"Walmart";55,9;9;73
2023-10-24;"Store 4";"Grocery";"Walmart";57,68;9;59
2023-02-20;"Store 1";"Grocery";"Trader Joe's";73,02;13;35
2023-04-08;"Store 4";"Furniture";"Ashley";655,8;1;28
2023-07-26;"Store 9";"Electronics";"LG";1084,82;2;35
2023-03-03;"Store 3";"Sports";"Decathlon";159,9;3;18
2023-09-21;"Store 5";"Sports";"Reebok";192,45;2;35
2023-09-18;"Store 6";"Furniture";"West Elm";1040,59;2;31
2023-06-30;"Store 2";"Sports";"Reebok";294,47;5;29
2023-08-19;"Store 4";"Sports";"Spalding";267,96;3;25
2023-05-26;"Store 10";"Clothing";"Nike";233,93;1;31
2023-12-16;"Store 3";"Clothing";"Puma";236,19;10;34
2023-06-09;"Store 4";"Grocery";"Trader Joe's";52,38;2;41
2023-05-28;"Store 10";"Grocery";"Walmart";56,65;5;36
2023-09-07;"Store 5";"Furniture";"West Elm";1003,86;1;42
2023-03-19;"Store 10";"Electronics";"LG";708,93;2;18
2023-11-18;"Store 9";"Sports";"Decathlon";229,66;5;27
2023-04-27;"Store 10";"Toys";"Mattel";178,86;7;52
2023-08-08;"Store 9";"Grocery";"Whole Foods";64,31;18;24
2023-12-29;"Store 8";"Clothing";"Puma";328,88;3;45
2023-08-23;"Store 8";"Toys";"LEGO";215,4;2;41
2023-07-08;"Store 7";"Grocery";"Trader Joe's";64,48;12;26
2023-06-06;"Store 4";"Grocery";"Whole Foods";53,29;18;49
2023-11-23;"Store 6";"Grocery";"Whole Foods";65,97;6;18
2023-10-06;"Store 2";"Grocery";"Target";45,61;15;30
2023-12-25;"Store 2";"Clothing";"H&M";459,44;2;49
2023-09-20;"Store 4";"Clothing";"Nike";194,97;6;25
2023-10-02;"Store 6";"Clothing";"Nike";356,71;10;23
2023-12-17;"Store 7";"Grocery";"Trader Joe's";60,35;6;30
2023-10-25;"Store 10";"Grocery";"Trader Joe's";65,68;5;48
2023-06-25;"Store 5";"Grocery";"Whole Foods";57,93;16;30
2023-06-07;"Store 1";"Clothing";"H&M";504,38;7;39
2023-05-30;"Store 3";"Grocery";"Costco";82,99;7;33
2023-12-14;"Store 3";"Electronics";"Samsung";989;1;40
2023-07-08;"Store 5";"Grocery";"Costco";33,81;13;30
2023-01-01;"Store 5";"Clothing";"H&M";368,71;6;31
2023-12-14;"Store 5";"Toys";"Nintendo";369,5;3;34
2023-01-01;"Store 8";"Grocery";"Walmart";31,64;17;34
2023-11-04;"Store 3";"Clothing";"Nike";295,23;2;41
2023-08-17;"Store 8";"Grocery";"Walmart";21,39;3;42
2023-12-03;"Store 10";"Grocery";"Walmart";49,43;14;29
2023-01-01;"Store 4";"Toys";"Fisher-Price";268,94;6;26
2023-07-30;"Store 3";"Electronics";"Sony";801,27;1;46
2023-03-07;"Store 5";"Clothing";"H&M";195,65;10;53
2023-06-09;"Store 8";"Sports";"Under Armour";94,94;5;37
2023-03-06;"Store 1";"Grocery";"Trader Joe's";92,75;8;20
2023-09-22;"Store 10";"Clothing";"Zara";105,71;1;57
2023-01-02;"Store 7";"Grocery";"Walmart";43,41;20;33
2023-02-26;"Store 5";"Toys";"Hasbro";133,74;1;55
2023-07-09;"Store 9";"Clothing";"Zara";361,5;9;48
2023-12-31;"Store 9";"Toys";"Mattel";276,08;3;45
2023-03-07;"Store 9";"Toys";"Nintendo";150,81;5;31
2023-01-26;"Store 3";"Toys";"Hasbro";242,15;7;26
2023-07-31;"Store 2";"Clothing";"Puma";574,01;7;19
2023-04-29;"Store 1";"Toys";"Mattel";129,44;6;45
2023-05-06;"Store 9";"Sports";"Wilson";264,15;2;51
2023-07-31;"Store 5";"Sports";"Decathlon";253,19;5;43
2023-12-31;"Store 4";"Grocery";"Costco";29,23;12;50
2023-03-05;"Store 2";"Clothing";"Zara";156,63;4;45
2023-02-28;"Store 1";"Grocery";"Trader Joe's";31,28;7;53
2023-07-10;"Store 9";"Clothing";"Zara";278;4;47
2023-02-14;"Store 9";"Sports";"Spalding";349,15;4;44
2023-07-20;"Store 1";"Clothing";"H&M";291,9;9;19
2023-03-17;"Store 7";"Grocery";"Walmart";42,05;5;63
2023-06-12;"Store 5";"Grocery";"Trader Joe's";73,99;5;38
2023-12-24;"Store 10";"Sports";"Spalding";150,02;3;31
2023-08-08;"Store 9";"Clothing";"Puma";420,58;7;44
2023-01-30;"Store 5";"Toys";"LEGO";65,64;7;74
2023-10-13;"Store 9";"Grocery";"Costco";25,06;12;41
